timestamp,group,k,free_energy,active_states,training_time,avg_switching_rate,fractional_occupancy,lifetimes
,controls,3,474373.77,3,8.85,0.029405,0.2891;0.2341;0.4768,16.18;19.80;28.78
,meditators,3,478411.25,3,7.19,0.027967,0.2725;0.4947;0.2328,16.38;30.02;27.02
,controls,4,465058.15,4,9.74,0.027064,0.2218;0.1427;0.2540;0.3815,14.10;22.09;15.39;22.54
,meditators,4,472548.71,4,9.65,0.029117,0.1632;0.2169;0.3351;0.2848,24.79;14.21;17.99;15.49
,controls,5,462659.41,5,13.84,0.024207,0.1813;0.2950;0.1555;0.2333;0.1350,13.33;22.51;13.05;13.71;20.05
,meditators,5,468106.48,5,12.77,0.025664,0.2110;0.2242;0.1502;0.2305;0.1840,15.41;15.65;23.96;15.52;13.50
,controls,6,459901.76,6,14.69,0.022893,0.1180;0.1723;0.1690;0.2102;0.1645;0.1660,21.86;11.96;11.02;24.94;12.94;11.09
,meditators,6,463837.71,6,12.88,0.023090,0.1622;0.1512;0.1593;0.1625;0.1941;0.1706,13.46;25.14;12.84;15.22;15.14;11.46
,controls,7,456425.27,7,15.17,0.020062,0.1892;0.1406;0.0998;0.1596;0.1280;0.1631;0.1196,18.32;15.24;11.25;12.75;19.76;11.51;11.90
,meditators,7,461800.46,7,16.93,0.021334,0.1566;0.1217;0.1374;0.1797;0.1179;0.1520;0.1347,14.75;15.35;12.49;12.14;20.03;13.68;9.45
,controls,8,454843.85,8,18.90,0.018082,0.1230;0.1163;0.1602;0.1238;0.0928;0.1400;0.1249;0.1190,12.61;10.60;13.21;10.60;13.89;11.78;14.23;17.85
,meditators,8,460102.92,8,18.55,0.016709,0.1174;0.0903;0.1314;0.1221;0.1640;0.1328;0.1384;0.1035,15.94;9.86;24.79;12.68;15.33;19.79;12.85;12.78
