group,n_states,standardization,networks,test_free_energy,test_log_likelihood
controls,3,bygroup,7,62377.22788585995,-54732.573511240815
controls,4,bygroup,7,63227.82734344916,-53737.21352895569
controls,5,bygroup,7,64218.400169121516,-52604.266084755654
controls,6,bygroup,7,66051.39932116844,-52607.23930332701
controls,7,bygroup,7,67543.64383161196,-52044.87462985972
controls,8,bygroup,7,68820.55717081297,-51654.99972208593
meditators,3,bygroup,7,63222.76575044912,-57063.516956170344
meditators,4,bygroup,7,63084.57661726343,-55082.58899033201
meditators,5,bygroup,7,64356.297490913625,-54621.57423371848
meditators,6,bygroup,7,65664.04083684461,-54051.129784681034
meditators,7,bygroup,7,66954.26279044803,-54092.11442334397
meditators,8,bygroup,7,68167.02767902732,-53503.149910126296
