group,n_states,standardization,networks,test_free_energy,test_log_likelihood
controls,3,global,7,61984.6102914301,-54847.72090705423
controls,4,global,7,63378.935604045764,-53634.70521522522
controls,5,global,7,64027.30977757046,-52585.5327440477
controls,6,global,7,66255.90867830298,-52744.64462404358
controls,7,global,7,67285.34467202357,-52053.24922710235
controls,8,global,7,68627.60358289932,-51816.838061017275
meditators,3,global,7,62784.93206722581,-56836.78277734162
meditators,4,global,7,63251.16438964428,-55182.33519000899
meditators,5,global,7,64284.15820864285,-54434.258622295514
meditators,6,global,7,65565.92542131727,-54062.391165115296
meditators,7,global,7,67098.74409862001,-54393.600376190305
meditators,8,global,7,67986.34897804067,-53690.25437636573
