group,n_states,standardization,networks,test_free_energy,test_log_likelihood
controls,3,persequence,8,72923.55032094402,-65267.81923416963
controls,4,persequence,8,73805.21567490496,-64119.61278534692
controls,5,persequence,8,75880.97015022626,-64184.436089677736
controls,6,persequence,8,77247.92530754628,-63720.793634511385
controls,7,persequence,8,78805.57359039472,-63598.42928468433
controls,8,persequence,8,80668.87290465685,-64039.49044750725
meditators,3,persequence,8,74121.43339863744,-67743.03616622678
meditators,4,persequence,8,75072.95042355475,-66571.04235694083
meditators,5,persequence,8,76389.93334371941,-65983.60201826996
meditators,6,persequence,8,77598.6754635949,-65434.21977817791
meditators,7,persequence,8,79280.64190334325,-65543.80651764467
meditators,8,persequence,8,80923.90756698805,-65443.274203255125
